Column1,Column2,Column3,Column4,Column5
131,141,9290,11357,0
136,143,9618,11705,0
122,126,8659,10119,0
106,112,7457,9142,0
103,108,7325,8579,0
103,110,7253,8967,0
111,119,7800,9649,0
-56807,-61120,-4026647,-4968490,0
11,16,783,1278,0
9,11,635,913,0
7,9,506,712,0
5,6,352,495,0
8,10,558,887,0
6,7,451,521,0
12,15,830,1185,0
13,17,907,1296,0
12,15,841,1145,0
9,13,643,992,0
9,10,627,839,0
45,62,2963,4751,0
251,350,17607,27687,0
146,148,10582,12166,0
127,129,9061,11061,0
112,114,8060,9471,0
106,109,7510,9600,0
105,106,7546,8855,0
116,120,8241,10283,0
165,168,11800,14334,0
108,111,7727,9201,0
106,112,7498,9251,0
153,173,10756,14029,0
-1643,-1832,-116624,-151028,0
13,18,923,1439,0
11,14,778,1090,0
12,16,838,1259,0
7,8,506,587,0
10,12,701,979,0
7,9,492,741,0
5,7,363,580,0
16,18,1130,1495,0
103,147,6831,11500,0
214,285,15373,22181,0
83,87,6041,6905,0
111,113,7719,10445,0
114,115,8338,9169,0
168,171,11888,15052,0
91,93,6619,7485,0
106,109,7466,9680,0
109,110,7810,9319,0
104,107,7397,9097,0
123,128,8777,10659,0
195,213,13867,17104,0
142,160,10003,12635,0
170,192,11930,15131,0
156,173,11029,13504,0
142,158,10053,12447,0
144,158,10125,12711,0
208,228,14741,18510,0
114,117,8178,9717,0
105,109,7460,9317,0
122,126,8670,10679,0
-2899,-3187,-205626,-260254,0
11,16,789,1340,0
7,9,506,752,0
8,10,572,818,0
8,11,558,852,0
11,17,764,1374,0
8,11,580,812,0
9,14,613,1088,0
10,14,720,1138,0
88,125,5798,9776,0
222,301,15878,23568,0
102,105,7345,8736,0
109,114,7763,9888,0
166,170,11874,14394,0
112,118,7969,10120,0
107,109,7733,8952,0
95,98,6707,8714,0
115,118,8203,10114,0
182,211,12700,16242,0
306,494,19370,30682,0
310,504,19666,30598,0
333,536,21195,33548,0
474,765,30167,46840,0
235,335,15598,23034,0
134,145,9513,11432,0
134,146,9482,11922,0
127,137,8963,11224,0
270,281,18181,21838,0
-3699,-4930,-249627,-351129,0
12,18,857,1458,0
7,8,495,707,0
7,8,506,667,0
9,11,635,833,0
8,11,558,892,0
95,181,5626,10093,0
183,361,10730,19752,0
179,353,10441,19245,1
185,362,10867,19911,0
583,963,37642,62388,0
122,154,8403,10911,0
111,113,7818,10085,0
119,121,8643,9853,0
99,101,6974,9064,0
113,114,8129,9623,0
155,158,10986,13794,0
112,115,8057,9505,0
135,162,9310,12407,0
238,361,15361,22749,0
279,419,18144,27569,0
379,574,24595,36482,0
253,383,16398,24321,0
203,272,13704,19134,0
153,174,10830,13423,0
154,172,10784,13987,0
123,129,8818,10453,0
183,190,13042,16058,0
147,193,9925,13637,0
170,231,11238,16193,0
200,273,13366,18840,0
467,660,31771,50211,0
559,713,39398,50712,0
357,434,23941,33983,0
427,522,29877,37423,0
343,425,23409,31989,0
394,466,27227,35079,0
326,398,22511,29138,0
510,548,36065,45011,0
262,274,18758,22682,0
310,321,21915,27205,0
294,311,21017,25353,0
290,300,20543,25731,0
278,285,20035,23197,0
420,437,29688,37320,0
278,288,20015,23099,0
282,299,19799,24892,0
373,414,26423,32903,0
314,342,22249,27687,0
449,469,32000,38296,0
295,315,20810,26521,0
294,305,21079,24989,0
267,281,18848,23869,0
351,390,24689,30818,0
324,397,22340,28733,0
583,713,39995,53344,0
352,433,24306,31565,0
354,430,24274,32551,0
366,440,25309,32523,0
333,404,22945,29867,0
549,607,38791,48796,0
289,307,20519,24937,0
301,324,21321,25790,0
320,354,22561,28767,0
295,310,20957,25551,0
454,483,32237,39812,0
298,314,21152,25663,0
283,301,20211,24181,0
287,304,20236,25411,0
317,342,22528,27866,0
288,306,20538,24359,0
463,500,32609,41398,0
287,303,20536,24537,0
292,306,20663,25519,0
288,306,20563,24751,0
286,298,20199,24607,0
322,352,22837,28222,0
423,452,29968,36955,0
281,301,19955,24568,0
302,320,21369,26787,0
280,292,20083,23507,0
273,290,19268,24567,0
260,268,18602,21563,0
453,488,31977,39990,0
283,303,20161,24209,0
284,302,20038,25258,0
-23629,-27739,-1644179,-2128839,0
0,1,0,85,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,2,0,170,0
0,-22,0,-1870,0
0,1,0,85,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
0,-42,0,-3570,0
0,1,0,85,0
0,1,0,85,0
14,21,962,1680,0
7,8,506,667,0
9,10,638,879,0
8,9,572,693,0
8,11,569,812,0
11,15,761,1233,0
9,10,638,839,0
18,23,1243,1756,0
86,121,5822,9525,0
204,279,14405,21857,0
106,112,7762,8811,0
108,111,7576,10012,0
121,122,8756,9991,0
147,150,10425,13146,0
114,116,8170,9803,0
103,105,7356,8917,0
113,116,8035,9931,0
110,113,7859,9493,0
123,132,8790,10766,0
187,206,13155,16695,0
228,278,15782,21722,0
466,603,32879,47825,0
313,361,22698,27413,0
307,328,21434,27307,0
493,536,35129,42710,0
297,308,20958,26747,0
274,284,19784,22675,0
294,312,20602,26470,0
317,336,22614,27227,0
260,271,18560,22705,0
421,435,29972,36444,0
288,304,20415,25243,0
309,327,22037,26777,0
293,309,20767,25573,0
294,311,20855,25764,0
443,469,31561,37653,0
347,380,24382,31166,0
314,338,22316,27191,0
305,327,21654,27081,0
292,303,20845,24905,0
272,283,19319,23897,0
426,441,30310,37048,0
280,290,19974,24263,0
291,304,20787,24838,0
286,304,20200,25019,0
327,354,23110,28591,0
467,505,33211,40976,0
302,321,21396,26309,0
301,318,21358,25855,0
331,364,23381,29371,0
319,344,22599,27614,0
323,351,22865,28321,0
490,532,34662,42830,0
289,311,20551,25153,0
313,333,22196,27549,0
298,314,21221,25815,0
447,474,31613,39130,0
286,304,20497,24299,0
285,301,20063,25485,0
312,332,22243,26534,0
325,355,22947,28681,0
449,481,31799,39384,0
288,303,20495,24929,0
281,295,20025,24313,0
289,308,20516,25251,0
301,322,21258,26551,0
434,460,30794,37470,0
298,318,21173,25919,0
292,314,20774,25722,0
271,284,19269,23259,0
268,277,19006,23245,0
438,465,31121,38208,0
272,286,19354,23359,0
285,302,20236,24999,0
271,286,19230,23447,0
435,466,30801,37506,0
308,338,21726,27119,0
298,318,21154,26050,0
263,275,18678,22977,0
253,265,18040,21477,0
429,464,30338,37886,0
252,264,18018,21451,0
504,514,34266,38167,0
-22310,-23954,-1581818,-1954711,0
0,1,0,85,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,1,0,85,0
0,1,0,85,0
