openflow:2:1	0	5	0	425	
openflow:2:1	0	6	0	510	
openflow:2:1	0	7	0	595	
openflow:2:1	0	7	0	595	
openflow:2:1	0	8	0	680	
openflow:2:1	0	8	0	680	
openflow:2:1	0	9	0	765	
openflow:2:1	46	75	2996	5860	
openflow:2:1	100	154	6734	12226	
openflow:2:1	144	199	10001	15655	
openflow:2:1	194	254	13440	20765	
openflow:2:1	289	352	20268	29039	
openflow:2:1	313	376	21995	31063	
openflow:2:1	377	441	26604	36532	
openflow:2:1	404	468	28474	39074	
openflow:2:1	461	526	32632	43761	
openflow:2:1	500	566	35316	47580	
openflow:2:1	548	616	38874	51216	
openflow:2:1	617	695	43654	57921	
openflow:2:1	659	740	46648	61275	
openflow:2:1	738	826	52229	67978	
openflow:2:1	785	887	55512	72927	
openflow:2:1	856	962	60574	78421	
openflow:2:1	922	1038	65153	84816	
openflow:2:1	963	1080	68131	87876	
openflow:2:1	1025	1145	72459	93681	
openflow:2:1	1063	1187	75163	96968	
openflow:2:1	1304	1495	91756	122147	
openflow:2:1	1436	1631	101402	132875	
openflow:2:1	1561	1771	110061	145326	
openflow:2:1	1674	1886	118313	154159	
openflow:2:1	1873	2135	131729	173049	
openflow:2:1	2181	2673	150822	204280	
openflow:2:1	2602	3337	177623	245936	
openflow:2:1	2922	3903	197172	279127	
openflow:2:1	3332	4561	223312	319230	
openflow:2:1	3671	5144	244140	354484	
openflow:2:1	4044	5759	267769	390725	
openflow:2:1	4240	6011	280920	409925	
openflow:2:1	4343	6122	288379	418366	
openflow:2:1	4640	6450	309357	444825	
openflow:2:1	4846	6672	323939	462184	
openflow:2:1	4966	6809	332281	473642	
openflow:2:1	5119	6968	343266	485875	
openflow:2:1	5262	7125	353259	499440	
openflow:2:1	5373	7239	361346	508188	
openflow:2:1	5590	7487	376227	528871	
openflow:2:1	5779	7728	389482	548201	
openflow:2:1	6013	7973	406348	568070	
openflow:2:1	6213	8190	420344	586867	
openflow:2:1	6429	8415	435893	604829	
openflow:2:1	6663	8663	452387	626160	
openflow:2:1	6848	8856	465695	641442	
openflow:2:1	7113	9137	484463	664839	
openflow:2:1	7305	9345	498055	681634	
openflow:2:1	8264	10819	559732	775913	
openflow:2:1	8979	12022	604585	846943	
openflow:2:1	9681	13208	648133	919142	
openflow:2:1	10340	14333	689130	985075	
openflow:2:1	11090	15575	736201	1060423	
openflow:2:1	11769	16743	778340	1130034	
openflow:2:1	12196	17337	806730	1169334	
openflow:2:1	12416	17578	822174	1189355	
openflow:2:1	12655	17829	839213	1209228	
openflow:2:1	12881	18068	855135	1229546	
openflow:2:1	13094	18297	870347	1247879	
openflow:2:1	13561	18799	903487	1288782	
openflow:2:1	13826	19078	922302	1311599	
openflow:2:1	14028	19293	936541	1329653	
openflow:2:1	14276	19555	954311	1350548	
openflow:2:1	14508	19806	970644	1371386	
openflow:2:1	14742	20058	987247	1391653	
openflow:2:1	14989	20322	1004736	1413216	
openflow:2:1	100	155	6748	12282	
openflow:2:1	138	194	9564	15275	
openflow:2:1	191	252	13223	20623	
openflow:2:1	226	290	15824	23486	
openflow:2:1	285	349	19993	28740	
openflow:2:1	311	376	21830	31141	
openflow:2:1	374	440	26406	36384	
openflow:2:1	402	468	28331	39072	
openflow:2:1	458	525	32412	43693	
openflow:2:1	500	567	35327	47625	
openflow:2:1	543	614	38522	51082	
openflow:2:1	619	700	43794	58297	
openflow:2:1	734	825	51965	67870	
openflow:2:1	788	891	55743	73170	
openflow:2:1	864	976	61134	79575	
openflow:2:1	923	1044	65221	85354	
openflow:2:1	971	1092	68664	89042	
openflow:2:1	1027	1149	72624	93983	
openflow:2:1	1062	1184	75154	96893	
openflow:2:1	1209	1371	85140	111830	
openflow:2:1	1325	1522	93306	124199	
openflow:2:1	1449	1647	102290	134377	
openflow:2:1	1568	1775	110604	145828	
openflow:2:1	1692	1906	119570	156050	
openflow:2:1	1836	2059	129743	169111	
openflow:2:1	1941	2168	137269	177868	
openflow:2:1	2261	2646	157959	208920	
openflow:2:1	2836	3560	194616	265575	
openflow:2:1	3113	4007	212051	293752	
openflow:2:1	3417	4485	231652	322919	
openflow:2:1	3663	4842	247761	347233	
openflow:2:1	3785	4974	256512	357396	
openflow:2:1	3965	5168	269208	372832	
openflow:2:1	4098	5317	278524	384765	
openflow:2:1	4249	5477	289291	397528	
openflow:2:1	4378	5619	298316	409484	
openflow:2:1	4511	5761	307840	420699	
openflow:2:1	4652	5909	317752	433243	
openflow:2:1	4769	6034	326111	443144	
openflow:2:1	5195	6552	355748	485375	
openflow:2:1	5414	6783	371583	503712	
openflow:2:1	5638	7019	387290	524368	
openflow:2:1	5833	7224	401390	540381	
openflow:2:1	6094	7503	419764	564390	
openflow:2:1	6268	7682	432231	578732	
openflow:2:1	6553	7987	452527	603705	
openflow:2:1	6718	8160	464064	618347	
openflow:2:1	6984	8436	483155	640534	
openflow:2:1	7177	8643	496635	658559	
openflow:2:1	7406	8888	513233	677369	
openflow:2:1	7668	9170	531532	701320	
openflow:2:1	7857	9367	545203	716746	
openflow:2:1	8167	9712	566975	744671	
openflow:2:1	8362	9926	580797	762014	
openflow:2:1	8868	10476	616517	806477	
openflow:2:1	9114	10738	634199	826953	
openflow:2:1	9365	11004	651759	849504	
openflow:2:1	9555	11201	665447	865053	
openflow:2:1	9815	11474	683800	888015	
openflow:2:1	10152	11974	705711	920338	
