openflow:2:1	110	171	7420	13655	
openflow:2:1	166	228	11578	17996	
openflow:2:1	210	272	14570	22340	
openflow:2:1	244	307	17166	24749	
openflow:2:1	307	371	21522	30792	
openflow:2:1	329	393	23183	32364	
openflow:2:1	403	468	28408	39053	
openflow:2:1	420	485	29640	40455	
openflow:2:1	492	558	34832	46572	
openflow:2:1	511	578	36097	48631	
openflow:2:1	589	663	41777	54529	
openflow:2:1	710	828	50170	67550	
openflow:2:1	771	889	54438	71616	
openflow:2:1	851	970	60026	78581	
openflow:2:1	873	993	61621	80478	
openflow:2:1	962	1083	67924	88437	
openflow:2:1	1030	1151	72885	93925	
openflow:2:1	1060	1182	74920	96990	
openflow:2:1	1116	1239	79045	101451	
openflow:2:1	1248	1409	87894	115527	
openflow:2:1	1428	1660	100601	135376	
openflow:2:1	1640	1912	115799	154272	
openflow:2:1	1828	2115	128907	171617	
openflow:2:1	1980	2268	139775	183614	
openflow:2:1	2137	2425	150962	197256	
openflow:2:1	2264	2553	159949	208603	
openflow:2:1	2439	2759	172160	223607	
openflow:2:1	2756	3245	192387	255270	
openflow:2:1	3051	3705	211348	284033	
openflow:2:1	3365	4184	231588	314607	
openflow:2:1	3961	5112	269838	372850	
openflow:2:1	4180	5389	284645	393447	
openflow:2:1	4364	5609	297883	409906	
openflow:2:1	4697	6007	321154	439566	
openflow:2:1	4918	6275	336443	461217	
openflow:2:1	5118	6474	350732	475631	
openflow:2:1	5290	6648	362634	491734	
openflow:2:1	5379	6738	369201	498733	
openflow:2:1	5582	6941	383666	516371	
openflow:2:1	5710	7093	392379	529150	
openflow:2:1	6099	7575	419969	568074	
openflow:2:1	6393	7930	440667	598403	
openflow:2:1	7127	8714	492979	663318	
openflow:2:1	7420	9013	514029	687271	
openflow:2:1	7794	9387	540638	719195	
openflow:2:1	8056	9650	559217	742372	
openflow:2:1	8412	10021	584902	772165	
openflow:2:1	8842	10518	615140	812007	
openflow:2:1	9220	10928	641865	844974	
openflow:2:1	9607	11317	669381	876384	
openflow:2:1	9949	11684	693575	907297	
openflow:2:1	10312	12085	719261	938678	
openflow:2:1	11125	13322	771843	1017912	
openflow:2:1	12023	14723	829900	1106405	
openflow:2:1	13596	17114	931297	1259054	
openflow:2:1	14329	18234	978577	1329633	
openflow:2:1	14956	19202	1018502	1391729	
openflow:2:1	15286	19553	1042052	1420002	
openflow:2:1	15586	19854	1063414	1446228	
openflow:2:1	15866	20136	1083332	1470667	
openflow:2:1	16717	21096	1143670	1546878	
openflow:2:1	17110	21525	1171428	1579851	
openflow:2:1	17588	22044	1205196	1621153	
openflow:2:1	17978	22492	1232671	1656788	
openflow:2:1	18408	22958	1263231	1693091	
openflow:2:1	18782	23352	1289395	1726335	
openflow:2:1	19131	23727	1314345	1756064	
openflow:2:1	19516	24126	1341594	1789870	
openflow:2:1	19794	24408	1361385	1813565	
openflow:2:1	20151	24768	1387020	1843800	
openflow:2:1	20438	25056	1407268	1869456	
openflow:2:1	21081	25707	1453194	1924857	
openflow:2:1	21384	26026	1475009	1950042	
openflow:2:1	21909	26634	1512174	1996445	
openflow:2:1	22406	27240	1546912	2044361	
openflow:2:1	22876	27738	1580054	2082136	
openflow:2:1	23284	28178	1608679	2118552	
openflow:2:1	23618	28537	1632507	2147145	
openflow:2:1	24015	28949	1660658	2181348	
openflow:2:1	24325	29276	1682596	2208906	
openflow:2:1	24668	29626	1707218	2237513	
openflow:2:1	24990	29953	1730006	2265935	
openflow:2:1	25305	30273	1752599	2292706	
openflow:2:1	25985	30986	1801024	2351719	
openflow:2:1	26383	31427	1829344	2387500	
openflow:2:1	26776	31834	1857022	2420754	
openflow:2:1	27118	32200	1881406	2450113	
openflow:2:1	27593	32755	1914895	2493074	
openflow:2:1	28038	33262	1946180	2533472	
openflow:2:1	28451	33707	1975380	2567869	
openflow:2:1	28848	34120	2003294	2602655	
openflow:2:1	29158	34447	2025422	2629304	
openflow:2:1	29791	35314	2067542	2688873	
openflow:2:1	31327	37770	2165249	2839812	
openflow:2:1	32167	39103	2218744	2925278	
openflow:2:1	32957	40369	2268990	3001821	
openflow:2:1	33845	41740	2325757	3089286	
openflow:2:1	34500	42810	2367123	3154594	
openflow:2:1	34928	43288	2397325	3191529	
openflow:2:1	35252	43636	2420042	3221257	
openflow:2:1	35622	44029	2446772	3251150	
openflow:2:1	36150	44655	2483617	3301341	
openflow:2:1	36553	45103	2512063	3335901	
openflow:2:1	37288	45869	2563964	3398972	
openflow:2:1	37721	46345	2594968	3436223	
openflow:2:1	38063	46713	2618898	3467642	
openflow:2:1	38419	47079	2644344	3496478	
openflow:2:1	38777	47453	2669709	3528461	
openflow:2:1	39082	47768	2691484	3554483	
openflow:2:1	39450	48149	2717768	3585992	
openflow:2:1	39767	48479	2740172	3614127	
openflow:2:1	40138	48870	2766702	3645805	
openflow:2:1	40473	49227	2790407	3675762	
openflow:2:1	40827	49595	2815528	3706106	
openflow:2:1	41225	50029	2843929	3739545	
openflow:2:1	41781	50701	2883022	3791948	
openflow:2:1	42636	51624	2943230	3864389	
openflow:2:1	42953	51947	2965487	3892635	
openflow:2:1	43266	52269	2988145	3918450	
openflow:2:1	43655	52678	3015489	3953775	
openflow:2:1	43934	52968	3035597	3976923	
openflow:2:1	44349	53398	3065024	4013234	
openflow:2:1	44620	53684	3084196	4037190	
openflow:2:1	45009	54084	3112249	4069289	
openflow:2:1	45335	54432	3134978	4099724	
openflow:2:1	45683	54796	3160230	4127596	
openflow:2:1	46129	55300	3191398	4169735	
openflow:2:1	46443	55638	3213769	4195747	
openflow:2:1	46986	56237	3252134	4242828	
openflow:2:1	47385	56713	3280077	4280791	
openflow:2:1	48166	57527	3335245	4347070	
openflow:2:1	48484	57850	3358140	4372956	
openflow:2:1	48847	58232	3383884	4405363	
openflow:2:1	49159	58555	3406118	4432100	
openflow:2:1	49522	58933	3432014	4463440	
openflow:2:1	49836	59262	3454244	4491093	
